ratings,age,experience,family,mobile
3,32,9,3,Vivo
3,27,13,3,Apple
4,22,2.5,0,Samsung
4,37,16.5,4,Apple
5,27,9,1,MI
4,27,9,0,Oppo
5,37,23,5,Vivo
5,37,23,5,Samsung
3,22,2.5,0,Apple
3,27,6,0,MI
2,27,6,2,Oppo
5,27,6,2,Samsung
3,37,16.5,5,Apple
5,27,6,0,MI
4,22,6,1,Oppo
4,37,9,2,Samsung
4,27,6,1,Apple
1,37,23,5,MI
2,42,23,2,Oppo
4,37,6,0,Vivo
5,22,2.5,0,Samsung
3,37,16.5,5,Apple
3,42,23,5,MI
2,27,9,2,Samsung
4,27,6,1,Apple
5,27,2.5,0,MI
2,27,6,2,Oppo
5,37,13,1,Vivo
2,32,16.5,2,Oppo
3,27,6,0,MI
3,27,6,0,MI
4,22,6,1,Oppo
4,37,6,0,Vivo
