userId,title,rating
196,Kolya (1996),3
63,Kolya (1996),3
226,Kolya (1996),5
154,Kolya (1996),3
306,Kolya (1996),5
296,Kolya (1996),4
34,Kolya (1996),5
271,Kolya (1996),4
201,Kolya (1996),4
209,Kolya (1996),4
35,Kolya (1996),2
354,Kolya (1996),5
199,Kolya (1996),5
113,Kolya (1996),2
1,Kolya (1996),5
173,Kolya (1996),5
360,Kolya (1996),4
234,Kolya (1996),4
14,Kolya (1996),4
309,Kolya (1996),4
331,Kolya (1996),4
21,Kolya (1996),3
111,Kolya (1996),4
439,Kolya (1996),5
355,Kolya (1996),4
204,Kolya (1996),5
145,Kolya (1996),5
30,Kolya (1996),5
463,Kolya (1996),2
144,Kolya (1996),4
417,Kolya (1996),3
2,Kolya (1996),5
497,Kolya (1996),1
523,Kolya (1996),5
12,Kolya (1996),5
202,Kolya (1996),3
131,Kolya (1996),5
451,Kolya (1996),1
532,Kolya (1996),4
539,Kolya (1996),5
537,Kolya (1996),3
416,Kolya (1996),4
566,Kolya (1996),5
597,Kolya (1996),4
181,Kolya (1996),1
639,Kolya (1996),4
123,Kolya (1996),5
520,Kolya (1996),5
617,Kolya (1996),3
86,Kolya (1996),4
624,Kolya (1996),4
9,Kolya (1996),4
651,Kolya (1996),5
492,Kolya (1996),5
207,Kolya (1996),4
460,Kolya (1996),4
697,Kolya (1996),5
129,Kolya (1996),4
40,Kolya (1996),4
740,Kolya (1996),4
239,Kolya (1996),5
794,Kolya (1996),5
461,Kolya (1996),3
771,Kolya (1996),4
733,Kolya (1996),4
568,Kolya (1996),4
673,Kolya (1996),4
249,Kolya (1996),5
6,Kolya (1996),4
205,Kolya (1996),4
592,Kolya (1996),5
440,Kolya (1996),5
641,Kolya (1996),5
765,Kolya (1996),5
139,Kolya (1996),3
628,Kolya (1996),5
473,Kolya (1996),3
695,Kolya (1996),5
206,Kolya (1996),3
863,Kolya (1996),4
90,Kolya (1996),4
594,Kolya (1996),4
866,Kolya (1996),3
803,Kolya (1996),5
240,Kolya (1996),5
753,Kolya (1996),4
735,Kolya (1996),5
869,Kolya (1996),2
655,Kolya (1996),4
18,Kolya (1996),5
898,Kolya (1996),4
937,Kolya (1996),3
767,Kolya (1996),4
533,Kolya (1996),4
680,Kolya (1996),4
485,Kolya (1996),5
574,Kolya (1996),5
758,Kolya (1996),3
486,Kolya (1996),4
13,Kolya (1996),2
724,Kolya (1996),1
270,Kolya (1996),5
428,Kolya (1996),4
861,Kolya (1996),5
871,Kolya (1996),3
408,Kolya (1996),4
195,Kolya (1996),4
279,Kolya (1996),3
743,Kolya (1996),4
